"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","checkSuccessLoginWithPassword","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPassword"
"","2","checkChangeAvatar","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAvatar"
"","1","checkChangeAccountPassword","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeAccountPassword"
"","2","globalInit","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","failed","Sat Jul 12 00:34:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","globalInit"
"","1","checkLoginWithWrongPin","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPin"
"","0","checkLoginWithWrongEmail","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongEmail"
"","1","checkSuccessLoginWithPin","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkSuccessLoginWithPin"
"","1","checkLoginWithWrongPassword","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","1","checkChangeUserName","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkChangeUserName"
"","1","checkSwitchTheme","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.ProfileTest","Surefire test","tests.ui.ProfileTest","checkSwitchTheme"
"","0","checkLogout","Surefire suite","Sat Jul 12 00:34:50 GMT 2025","skipped","Sat Jul 12 00:34:50 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLogout"
